cluster_id,log_e_full,log_e_para_multi,log_e_oracle,log_e_stacked_full,log_e_stacked_para,y_astro
9224,164.89726090463446,-1.548192448671858,-7.121905019207292,164.20411372407452,-2.2375504572369667,0
9225,164.89726090463446,-1.4992296271811465,-7.1885911105486855,164.20411372407452,-2.189000761419298,0
9226,164.89726090463446,-1.6517538667220886,-5.8658201481017525,164.20411372407452,-2.3302231748244524,0
9227,164.89726090463446,-1.4958941475674945,-6.27983886018005,164.20411372407452,-2.180713159394131,0
9228,164.89726090463446,-1.6882598693687556,-7.292411590638668,164.20411372407452,-2.377731270847071,0
9229,164.89726090463446,-1.4494589478340625,-6.083053508785641,164.20411372407452,-2.1329333033977522,0
9230,164.89726090463446,-1.3867805969135607,-6.579160555329953,164.20411372407452,-2.0743844089322088,0
9231,164.89726090463446,-1.441766590264833,-7.372250158877572,164.20411372407452,-2.132260098189484,0
9232,164.89726090463446,-1.779644446580665,-7.372250158877572,164.20411372407452,-2.4690732407901814,0
9233,164.89726090463446,-1.7885634061959768,-7.372250158877572,164.20411372407452,-2.477958950342744,0
9234,164.89726090463446,-1.5486470988837562,-7.227645416372736,164.20411372407452,-2.238383124595113,0
9235,164.89726090463446,-1.7554663561706678,-7.1873069365924,164.20411372407452,-2.4442480435946576,0
9236,164.89726090463446,13.605453102885708,-2.0621910211696677,164.20411372407452,12.912306079227799,0
9237,164.89726090463446,-1.19754830404475,-5.745624475086082,164.20411372407452,-1.8801635868097755,0
9238,164.89726090463446,10.68844511864908,-4.762183122944895,164.20411372407452,9.995298133018546,0
9239,164.89726090463446,-0.9098374165725484,-5.940241489499492,164.20411372407452,-1.5964696963123737,0
9240,164.89726090463446,-1.7931968096472517,-7.208953910179098,164.20411372407452,-2.4819078738457625,0
9241,164.89726090463446,-1.507799302038168,-7.161728226980861,164.20411372407452,-2.1974488825097,0
9242,164.89726090463446,-1.6722232494156168,-7.422028064663673,164.20411372407452,-2.3621920841845916,0
9243,164.89726090463446,10.688443136565413,-7.1234354781607525,164.20411372407452,9.995295974387748,0
9244,164.89726090463446,-1.089413355734722,-5.964069137977967,164.20411372407452,-1.774951833223795,0
9245,164.89726090463446,-1.7064421292322018,-6.830446277123194,164.20411372407452,-2.3936548119509466,0
9246,164.89726090463446,10.688447520823416,-5.890810680132132,164.20411372407452,9.995300403318486,0
9247,-1.8396402543359849,-1.3496030412439288,-6.567479644135757,-2.5239807654772712,-2.037346027569883,0
9248,164.89726090463446,-0.3828823064749411,-0.8431659365306063,164.20411372407452,-0.5867720208295617,0
9249,164.89726090463446,10.688446403571325,-6.083053508785641,164.20411372407452,9.99529927503854,0
9250,164.89726090463446,-1.1695000955443822,-5.823974976215251,164.20411372407452,-1.853173384974438,0
9251,164.89726090463446,-1.7931968096472517,-7.227645416372736,164.20411372407452,-2.4819898428400062,0
