kind,kappa_hat,r_emp
astroturf,1654.6440247210694,0.8909093737602234
astroturf,1941.1755445874091,0.9061799049377441
astroturf,1626.5049021170696,0.8891382813453674
astroturf,2036.1363597929526,0.9103415012359619
astroturf,1455.709781020383,0.8770257830619812
astroturf,1502.2708502686992,0.8805815577507019
astroturf,1400.9750268993962,0.8725665807723999
astroturf,2279.2987753655725,0.919489324092865
astroturf,1618.4153846606744,0.8886184692382812
astroturf,1575.1564399889485,0.8857542276382446
astroturf,1361.9500094534355,0.8691855669021606
astroturf,1516.2378076890486,0.8816086053848267
astroturf,1504.9167037482446,0.8807774782180786
astroturf,1331.0301965278356,0.8663773536682129
astroturf,1695.1449973036367,0.8933617472648621
astroturf,1495.1524307808193,0.8800512552261353
astroturf,1590.0983158995973,0.8867599964141846
astroturf,1679.6810644777645,0.8924384713172913
astroturf,1612.0626219955889,0.8882068395614624
astroturf,1442.9736855803776,0.8760161399841309
astroturf,1913.2125286543228,0.9048799872398376
astroturf,1207.6168670566892,0.8538637161254883
astroturf,1470.6726024813288,0.8781912326812744
astroturf,1916.9756747903323,0.9050570130348206
astroturf,1430.7359876963883,0.8750303387641907
astroturf,1549.2525341304872,0.8839677572250366
astroturf,1465.1589575899545,0.8777643442153931
astroturf,1739.2626903161513,0.8959110379219055
astroturf,1274.98732544876,0.8609695434570312
astroturf,1475.1279216705475,0.8785340189933777
astroturf,1575.810603202644,0.8857986330986023
astroturf,1443.7705916358202,0.876079797744751
astroturf,1731.2832874250066,0.895458996295929
astroturf,1628.4931017953622,0.8892652988433838
astroturf,1712.90281430132,0.8944026827812195
astroturf,1682.1718304599144,0.8925882577896118
astroturf,1615.602119860807,0.8884365558624268
astroturf,2412.8451599481396,0.9237626194953918
astroturf,1807.166739014775,0.8996057510375977
astroturf,1586.91953129326,0.8865475058555603
astroturf,1655.007855962685,0.8909319043159485
astroturf,2003.9185304627701,0.9089714884757996
astroturf,1413.029257064903,0.8735760450363159
astroturf,1807.1281277486166,0.8996037244796753
astroturf,1241.4412457540125,0.857519268989563
astroturf,1724.025905220254,0.8950444459915161
astroturf,1627.641659774635,0.8892109394073486
astroturf,1889.3849164659327,0.9037436246871948
astroturf,1953.0350843834824,0.9067205786705017
astroturf,1244.9392332173697,0.8578869700431824
astroturf,1664.5193544768888,0.8915176391601562
astroturf,1321.659108261873,0.8655024170875549
astroturf,1954.9620009123935,0.9068078398704529
astroturf,1476.172734297165,0.8786141276359558
astroturf,1706.49751457631,0.8940295577049255
astroturf,1648.0346095234402,0.8904984593391418
astroturf,1550.542823804764,0.8840580582618713
astroturf,1280.6556733810185,0.8615362048149109
astroturf,1364.4039834540674,0.8694034218788147
astroturf,1548.928360147205,0.8839450478553772
astroturf,1725.846604117213,0.895148754119873
astroturf,1303.2475705996933,0.8637498021125793
astroturf,1822.097717572375,0.9003833532333374
astroturf,1739.00066800476,0.8958962559700012
astroturf,1919.431143241531,0.9051721692085266
astroturf,1689.523717301881,0.8930279612541199
