cluster_id,n,n_unique_at_hi_gamma,frac_unclustered_at_hi,fragmentation_rate,frac_astroturf,frac_advocacy,y_astro,y_adv
118,51,3,0.0,0.058823529411764705,0.0,0.0,0,0
119,51,2,0.0,0.0392156862745098,0.0,0.0,0,0
120,51,2,0.0,0.0392156862745098,0.0,0.0,0,0
121,51,6,0.0,0.11764705882352941,0.0,0.0,0,0
122,51,4,0.0,0.0784313725490196,0.0,0.0392156862745098,0,0
123,50,5,0.0,0.1,0.0,0.0,0,0
124,50,2,0.0,0.04,0.0,0.0,0,0
125,50,3,0.0,0.06,0.0,0.0,0,0
126,50,2,0.0,0.04,0.0,0.0,0,0
127,50,6,0.0,0.12,0.0,0.0,0,0
128,50,3,0.0,0.06,0.0,0.0,0,0
129,50,3,0.0,0.06,0.0,0.0,0,0
130,50,4,0.0,0.08,0.0,0.0,0,0
131,50,3,0.0,0.06,0.0,0.0,0,0
132,50,2,0.0,0.04,0.0,0.0,0,0
133,50,3,0.0,0.06,0.0,0.0,0,0
134,50,4,0.0,0.08,0.0,0.0,0,0
135,50,3,0.0,0.06,0.0,0.0,0,0
136,50,4,0.0,0.08,0.0,0.0,0,0
137,50,5,0.0,0.1,0.0,0.0,0,0
138,50,2,0.0,0.04,0.0,0.0,0,0
139,50,7,0.0,0.14,0.0,0.0,0,0
140,50,4,0.0,0.08,0.0,0.0,0,0
141,50,4,0.0,0.08,0.0,0.8,0,1
142,50,3,0.0,0.06,0.0,0.0,0,0
143,50,2,0.0,0.04,0.0,0.0,0,0
144,50,6,0.0,0.12,0.0,0.0,0,0
145,50,2,0.0,0.04,0.0,0.0,0,0
146,50,3,0.0,0.06,0.0,0.0,0,0
147,50,5,0.0,0.1,0.0,0.0,0,0
148,50,4,0.0,0.08,0.0,0.0,0,0
149,50,8,0.0,0.16,0.0,0.02,0,0
150,50,4,0.0,0.08,0.0,0.0,0,0
151,50,4,0.0,0.08,0.0,0.0,0,0
152,50,1,0.0,0.02,0.0,0.0,0,0
153,50,4,0.0,0.08,0.0,0.0,0,0
154,50,1,0.0,0.02,0.0,0.0,0,0
155,50,2,0.0,0.04,0.0,0.0,0,0
156,50,4,0.0,0.08,0.0,0.0,0,0
157,50,2,0.0,0.04,0.0,0.0,0,0
158,50,2,0.0,0.04,0.0,0.0,0,0
159,50,1,0.0,0.02,0.0,0.0,0,0
160,50,1,0.0,0.02,0.0,0.0,0,0
161,49,4,0.0,0.08163265306122448,0.0,0.0,0,0
162,49,5,0.0,0.10204081632653061,0.0,0.0,0,0
163,49,3,0.0,0.061224489795918366,0.0,0.0,0,0
164,49,4,0.0,0.08163265306122448,0.0,0.0,0,0
165,49,2,0.0,0.04081632653061224,0.0,0.0,0,0
166,49,4,0.0,0.08163265306122448,0.0,0.0,0,0
167,49,3,0.0,0.061224489795918366,0.0,0.0,0,0
168,49,4,0.0,0.08163265306122448,0.0,0.0,0,0
169,49,5,0.0,0.10204081632653061,0.0,0.0,0,0
170,49,4,0.0,0.08163265306122448,0.0,0.0,0,0
171,49,4,0.0,0.08163265306122448,0.0,0.5102040816326531,0,1
172,49,2,0.0,0.04081632653061224,0.0,0.0,0,0
173,49,4,0.0,0.08163265306122448,0.0,0.0,0,0
174,49,8,0.0,0.16326530612244897,0.0,0.0,0,0
175,49,4,0.0,0.08163265306122448,0.0,0.0,0,0
176,49,9,0.0,0.1836734693877551,0.0,0.0,0,0
177,49,5,0.0,0.10204081632653061,0.0,0.0,0,0
178,49,5,0.0,0.10204081632653061,0.0,0.0,0,0
179,49,2,0.0,0.04081632653061224,0.0,0.0,0,0
180,49,5,0.0,0.10204081632653061,0.0,0.0,0,0
181,49,4,0.0,0.08163265306122448,0.0,0.0,0,0
182,49,11,0.0,0.22448979591836735,0.0,0.0,0,0
183,49,6,0.0,0.12244897959183673,0.0,0.0,0,0
184,49,7,0.0,0.14285714285714285,0.0,0.0,0,0
185,49,1,0.0,0.02040816326530612,0.0,0.0,0,0
186,49,1,0.0,0.02040816326530612,0.0,0.0,0,0
187,49,5,0.0,0.10204081632653061,0.0,0.0,0,0
188,49,5,0.0,0.10204081632653061,0.0,0.0,0,0
189,49,2,0.0,0.04081632653061224,0.0,0.0,0,0
190,49,2,0.0,0.04081632653061224,0.0,0.0,0,0
191,49,1,0.0,0.02040816326530612,0.0,0.0,0,0
192,49,4,0.0,0.08163265306122448,0.0,0.0,0,0
193,49,3,0.0,0.061224489795918366,0.0,0.0,0,0
194,48,8,0.0,0.16666666666666666,0.0,0.0,0,0
195,48,2,0.0,0.041666666666666664,0.0,0.0,0,0
196,48,7,0.0,0.14583333333333334,0.0,0.0,0,0
197,48,4,0.0,0.08333333333333333,0.0,0.0,0,0
198,48,2,0.0,0.041666666666666664,0.0,0.0,0,0
199,48,3,0.0,0.0625,0.0,1.0,0,1
200,48,2,0.0,0.041666666666666664,0.0,0.0,0,0
201,48,4,0.0,0.08333333333333333,0.0,0.0,0,0
202,48,5,0.0,0.10416666666666667,0.0,0.0,0,0
203,48,5,0.0,0.10416666666666667,0.0,0.0,0,0
204,48,3,0.0,0.0625,0.0,0.0,0,0
205,48,2,0.0,0.041666666666666664,0.0,0.0,0,0
206,48,7,0.0,0.14583333333333334,0.0,0.0,0,0
207,48,1,0.0,0.020833333333333332,0.0,0.0,0,0
208,48,2,0.0,0.041666666666666664,0.0,0.0,0,0
209,48,3,0.0,0.0625,0.0,0.0,0,0
210,48,1,0.0,0.020833333333333332,0.0,0.0,0,0
211,47,4,0.0,0.0851063829787234,0.0,0.0,0,0
212,47,5,0.0,0.10638297872340426,0.0,0.7872340425531915,0,1
213,47,4,0.0,0.0851063829787234,0.0,0.0,0,0
214,47,4,0.0,0.0851063829787234,0.0,0.0,0,0
215,47,4,0.0,0.0851063829787234,0.0,0.0,0,0
