method,k,precision,recall
LRT (log_e),12951,0.38151494093120225,0.8137351778656127
LRT (log_e),13001,0.3811245288823937,0.8160408432147562
LRT (log_e),13051,0.3805072408244579,0.8178524374176548
LRT (log_e),13101,0.38019998473398975,0.8203227931488801
LRT (log_e),13151,0.381339822066763,0.8259222661396575
LRT (log_e),13201,0.3832285432921748,0.8331686429512516
LRT (log_e),13251,0.3855558071088974,0.8414031620553359
LRT (log_e),13301,0.38756484474851516,0.8489789196310935
LRT (log_e),13351,0.3892592315182383,0.8558959156785244
LRT (log_e),13401,0.3903440041787926,0.8614953886693018
LRT (log_e),13451,0.39156940004460633,0.8674242424242424
LRT (log_e),13501,0.3926375824013036,0.8730237154150198
LRT (log_e),13551,0.3932551103239613,0.877635046113307
LRT (log_e),13601,0.3946033379898537,0.883893280632411
LRT (log_e),13651,0.3959416892535345,0.8901515151515151
LRT (log_e),13701,0.3969783227501642,0.8957509881422925
LRT (log_e),13751,0.39800741764235326,0.9013504611330698
LRT (log_e),13801,0.3992464314180132,0.9074440052700923
LRT (log_e),13851,0.40025990903183883,0.9130434782608695
LRT (log_e),13901,0.40162578231781887,0.9194664031620553
LRT (log_e),13951,0.4015482761092395,0.9225955204216074
LRT (log_e),14001,0.40239982858367257,0.9278656126482213
LRT (log_e),14051,0.40288947405878583,0.9323122529644269
LRT (log_e),14101,0.40337564711722573,0.9367588932806324
LRT (log_e),14151,0.4039290509504629,0.9413702239789197
LRT (log_e),14201,0.40468981057671993,0.9464756258234519
LRT (log_e),14251,0.40488386779875096,0.9502635046113307
LRT (log_e),14301,0.40479686735193343,0.9533926218708827
LRT (log_e),14351,0.4040833391401296,0.9550395256916996
LRT (log_e),14401,0.4037219637525172,0.9575098814229249
LRT (log_e),14451,0.4033630890595806,0.9599802371541502
LRT (log_e),14501,0.40335149300048273,0.9632740447957839
LRT (log_e),14551,0.402515291045289,0.9645915678524374
LRT (log_e),14601,0.4016848161084857,0.9659090909090909
LRT (log_e),14651,0.40120128318886084,0.9680500658761528
LRT (log_e),14701,0.40024488130059177,0.969038208168643
LRT (log_e),14751,0.3992949630533523,0.9700263504611331
LRT (log_e),14801,0.39902709276400244,0.9726613965744401
LRT (log_e),14851,0.39849168406167934,0.9746376811594203
LRT (log_e),14901,0.3977585396953225,0.9761198945981555
LRT (log_e),14951,0.39709718413484046,0.9777667984189723
LRT (log_e),15001,0.39610692620491966,0.9785902503293807
LRT (log_e),15051,0.3952561291608531,0.9797430830039525
LRT (log_e),15101,0.3948745116217469,0.9820487483530962
LRT (log_e),15151,0.3947594218203419,0.9850131752305665
LRT (log_e),15201,0.3946450891388724,0.9879776021080369
LRT (log_e),15251,0.3941380893056193,0.9899538866930171
LRT (log_e),15301,0.3933076269524868,0.991106719367589
LRT (log_e),15351,0.39209172040909385,0.9912714097496707
LRT (log_e),15401,0.39166287903382896,0.9934123847167325
LRT (log_e),15451,0.39104265096110286,0.9950592885375494
LRT (log_e),15501,0.3899103283659119,0.9953886693017128
LRT (log_e),15551,0.3889138962124622,0.9960474308300395
LRT (log_e),15601,0.3877956541247356,0.9963768115942029
LRT (log_e),15651,0.3870679189828126,0.9976943346508564
LRT (log_e),15701,0.386535889433794,0.9995059288537549
Mixture-LR (log_e),1,0.0,0.0
Mixture-LR (log_e),51,0.0,0.0
Mixture-LR (log_e),101,0.0,0.0
Mixture-LR (log_e),151,0.0,0.0
Mixture-LR (log_e),201,0.0,0.0
Mixture-LR (log_e),251,0.0,0.0
Mixture-LR (log_e),301,0.0,0.0
Mixture-LR (log_e),351,0.0,0.0
Mixture-LR (log_e),401,0.0,0.0
Mixture-LR (log_e),451,0.0,0.0
Mixture-LR (log_e),501,0.0,0.0
Mixture-LR (log_e),551,0.0,0.0
Mixture-LR (log_e),601,0.0,0.0
Mixture-LR (log_e),651,0.0,0.0
Mixture-LR (log_e),701,0.0,0.0
Mixture-LR (log_e),751,0.0,0.0
Mixture-LR (log_e),801,0.0,0.0
Mixture-LR (log_e),851,0.0,0.0
Mixture-LR (log_e),901,0.0,0.0
Mixture-LR (log_e),951,0.0,0.0
Mixture-LR (log_e),1001,0.0,0.0
Mixture-LR (log_e),1051,0.0,0.0
Mixture-LR (log_e),1101,0.0,0.0
Mixture-LR (log_e),1151,0.0,0.0
Mixture-LR (log_e),1201,0.0,0.0
Mixture-LR (log_e),1251,0.0,0.0
Mixture-LR (log_e),1301,0.0,0.0
Mixture-LR (log_e),1351,0.0,0.0
Mixture-LR (log_e),1401,0.0,0.0
Mixture-LR (log_e),1451,0.0,0.0
Mixture-LR (log_e),1501,0.0,0.0
Mixture-LR (log_e),1551,0.0,0.0
Mixture-LR (log_e),1601,0.0,0.0
Mixture-LR (log_e),1651,0.0,0.0
