cluster_id,n,log_e_para_multi,log_e_verb,log_e_full
401,42,-1.7866085895138208,-2.733661395553894,-2.1519765617730697
402,42,-1.7866085895138208,-1.685879562234786,-1.7349763195831183
403,42,-1.6558987779733032,-2.3474942858373575,-1.9430633586261097
404,42,-1.8039458611857824,165.5904080851944,164.89726090463446
405,42,-1.8044466755901154,165.5904080851944,164.89726090463446
406,42,-1.7736858569639014,165.5904080851944,164.89726090463446
407,42,-1.7995460963182524,-1.685879562234786,-1.7410986878263004
408,42,-1.7517908562410673,-1.685879562234786,-1.7182922701712853
409,42,-1.7889457917199485,-2.939902863123366,-2.2072424706773077
410,42,-1.7886251823872643,-1.685879562234786,-1.7359333695282206
411,42,-1.605046630840766,0.5000677581633748,-0.07811659333287146
412,42,-1.7736858569639014,-1.685879562234786,-1.728819275866348
413,41,-1.7863165086499118,-0.6074253769611953,-1.0323641271683426
414,41,-1.771966817613301,-2.767152906649647,-2.1505553707928207
415,41,-1.7526619187911034,-3.0193093489263276,-2.1975634899844043
416,41,-1.803140290954651,165.5904080851944,164.89726090463446
417,41,-1.7627082286622167,-2.3952214478288543,-2.029767773640016
418,41,-1.6071254884490267,-2.858296887362797,-2.0486043396249687
419,41,-1.7907538876030795,165.5904080851944,164.89726090463446
420,41,-1.7763448084494966,-2.667426618401545,-2.1257521246291464
421,41,-1.7655574373187082,165.5904080851944,164.89726090463446
422,41,-1.7756044870842396,-2.767152906649647,-2.153209969019251
423,41,-1.7216377353013073,165.5904080851944,164.89726090463446
424,41,-1.587261293916117,165.5904080851944,164.89726090463446
425,41,-1.7740916034037464,165.5904080851944,164.89726090463446
426,41,-1.7870576658733035,-2.767152906649647,-2.1615508767215394
427,41,-1.7918827432864135,-2.767152906649647,-2.165057009981497
