cluster_id,n,tau,f_anchor,log_e_para_multi,log_e_verb,log_e_full,log_e_para_g0.95,log_e_para_g0.96,log_e_para_g0.97,log_e_para_g0.98,y_astro,span_days,H_day,H_state,H_email,stat_time,stat_geo,stat_email,log_e_time,log_e_geo,log_e_email,log_e_multi5,log_e_multi4_noverb,log_e_para_time,log_e_para_time_geo
11,57,0.999999,0.1052631578947368,-1.0055795155001008,266.0508610344553,265.35771385389535,-1.197332243152934,-1.2072249230123022,-1.0761999183823656,-0.6512050723640087,0,359.0,0.1799440980647141,0.05100704823248115,0.3100365342503373,0.8200559019352859,0.9489929517675189,0.6899634657496627,0.2295004562571492,-0.4231594615722867,0.1449092113194177,264.4414231220212,-0.1523610458705975,-0.2083756302782177,-0.2749728707097421
12,57,0.0526315789473684,0.087719298245614,-0.9612851168301916,3.165847061703162,2.4887002575136914,-1.269153441434745,-1.182325530616601,-1.0029148197371385,-0.5531045576964803,0,68.0,0.4508587257617729,0.052853185595567884,0.12000000000000001,0.5491412742382271,0.9471468144044322,0.88,0.7533073644388428,-0.38799829429526334,-0.8706689228599398,1.697899885696579,-0.10438895011836169,0.22570604071515576,0.05978597657146145
13,57,0.999999,0.1052631578947368,-1.0432995983509716,266.0508610344553,265.35771385389535,-1.197332243152934,-1.2237963831400458,-1.0761999183823656,-0.7504318021848725,0,68.0,0.19849964784650515,0.061880555588426346,0.3423925297744839,0.8015003521534949,0.9381194444115737,0.6576074702255161,0.3316631938701755,-0.24358956392072195,0.22430209877734164,264.4414231220212,-0.05635023182517385,-0.13606382595487332,-0.17063684160328219
14,56,0.0714285714285714,0.0714285714285714,-0.8489600152515852,1.0801317339305492,0.5226337799728397,-1.2772865408152738,-1.082617197919444,-0.8924865243459155,-0.3793558064884625,0,68.0,0.3539992695398101,0.0629108838568298,0.10883856829802777,0.6460007304601899,0.9370891161431703,0.8911614317019723,0.7610938316700795,-0.25500567063395274,-1.011369503908559,0.28550613663484303,-0.07604211233685931,0.250165578498062,0.10837243116891337
15,56,0.999999,0.0892857142857142,-0.9960438668082338,247.31244178905604,246.6192946084961,-1.2772865408152738,-1.1853992688629296,-0.9981302479882852,-0.645565382725939,0,228.0,0.21725503623357265,0.0535706606686031,0.33029776787284804,0.7827449637664273,0.946429339331397,0.669702232127152,0.4248109530870264,-0.40593890871115956,0.17889843921274595,245.70300387662195,-0.06163895761295102,-0.05200987395065615,-0.1566577629028001
16,55,0.999999,0.0909090909090909,-0.9542684038135354,266.0508610344553,265.35771385389535,-1.2243642515307864,-1.1830008641858614,-1.0076625669140986,-0.5533830623595686,0,242.0,0.16171466503601925,0.055244612666955274,0.35074989160147013,0.8382853349639807,0.9447553873330448,0.6492501083985298,0.11148982151062659,-0.3477412010441632,0.24220330421646885,264.4414231220212,-0.13829386836525326,-0.2856600250743448,-0.3059285189153247
17,55,0.999999,0.0727272727272727,-0.9968192161132824,281.4394549431443,280.74630776258437,-1.3065400366670707,-1.2078801482454486,-0.9112868097507574,-0.6839617228880652,0,378.0,0.11010066798499368,0.05716537824482117,0.4098622293155033,0.8898993320150064,0.9428346217551788,0.5901377706844967,-0.3823441167719924,-0.3224838026142929,0.34457328454090375,279.8300170307102,-0.227199616262183,-0.6431085724501131,-0.5244404704911931
18,55,0.0909090909090909,0.0727272727272727,-0.9452983364266596,0.1378160228887792,-0.2637520273561149,-1.2479914646487855,-1.060210064657471,-0.8978970727908578,-0.6667679756321813,0,68.0,0.3683491564783826,0.055938801994399295,0.12096168294515403,0.6316508435216174,0.9440611980056007,0.8790383170548459,0.7676325756006149,-0.32943266597576804,-0.8611340288502052,-0.033970227236458816,-0.08195951071485541,0.24028493437532317,0.08389820968762485
19,55,0.0727272727272727,0.0909090909090909,-0.9940449109137782,1.008829610309131,0.4422682229208333,-1.2330719135754626,-1.1878838392396247,-1.0062332167051895,-0.6569085191969303,0,68.0,0.40210039159843364,0.06710573157707368,0.11463154147383409,0.5978996084015664,0.9328942684229263,0.8853684585261659,0.7845106843072189,-0.19664185292054537,-0.9488993224625637,0.26427817879579285,-0.059202679675773195,0.24741115890527043,0.12011984366674855
20,55,0.0545454545454545,0.0909090909090909,-1.0098102617726852,2.975953068820962,2.3012136780828167,-1.2350960639802564,-1.1887291478125348,-1.0192887836566769,-0.6913769042365502,0,68.0,0.38316695073451834,0.056245434623813,0.11581852122392663,0.6168330492654817,0.943754565376187,0.8841814787760733,0.7507998804186954,-0.33249258855014374,-0.9118248169552712,1.5351543076608591,-0.10483107863428276,0.21631313032278554,0.06457480708198493
