scenario,pi0,alpha,rep,k_hat,fdr,tdp
S1_correct,0.5,0.2,42,1988,0.011569416498993963,0.7894736842105263
S1_correct,0.5,0.05,43,1512,0.004629629629629629,0.6090651558073654
S1_correct,0.5,0.1,43,1770,0.0062146892655367235,0.7118575475515986
S1_correct,0.5,0.15,43,1914,0.01044932079414838,0.7664912990692028
S1_correct,0.5,0.2,43,2002,0.014985014985014986,0.7980574666127074
S1_correct,0.5,0.05,44,1416,0.00423728813559322,0.5692369802180056
S1_correct,0.5,0.1,44,1724,0.010440835266821345,0.6887363746467501
S1_correct,0.5,0.15,44,1877,0.012786361214704315,0.7480823576907549
S1_correct,0.5,0.2,44,1966,0.01627670396744659,0.7807832054905127
S1_correct,0.5,0.05,45,1424,0.002106741573033708,0.5616600790513834
S1_correct,0.5,0.1,45,1727,0.006369426751592357,0.6782608695652174
S1_correct,0.5,0.15,45,1870,0.009625668449197862,0.7320158102766798
S1_correct,0.5,0.2,45,1982,0.012108980827447022,0.7739130434782608
S1_correct,0.5,0.05,46,1488,0.008064516129032258,0.5882821841371064
S1_correct,0.5,0.1,46,1799,0.010561423012784881,0.7094459944200877
S1_correct,0.5,0.15,46,1919,0.013027618551328817,0.7548824232762057
S1_correct,0.5,0.2,46,2014,0.015392254220456803,0.79035472299721
S1_correct,0.5,0.05,47,1454,0.000687757909215956,0.5777335984095427
S1_correct,0.5,0.1,47,1722,0.0029036004645760743,0.6827037773359841
S1_correct,0.5,0.15,47,1889,0.007940709370037057,0.7451292246520875
S1_correct,0.5,0.2,47,1980,0.011616161616161616,0.778131212723658
S1_correct,0.5,0.05,48,1553,0.003219575016097875,0.6192
S1_correct,0.5,0.1,48,1807,0.004980630879911455,0.7192
S1_correct,0.5,0.15,48,1938,0.006707946336429308,0.77
S1_correct,0.5,0.2,48,2040,0.010294117647058823,0.8076
