cluster_id,n,tau,f_anchor,log_e_para_multi,log_e_verb,log_e_full,log_e_para_g0.95,log_e_para_g0.96,log_e_para_g0.97,log_e_para_g0.98
13315,8,0.25,0.875,12.071987884167415,-1.7193113774874862,11.378841728113715,2.5215891132861064,3.441237046574064,1.5849123995391432,13.458212843359657
13316,8,0.25,0.999999,35.86367885041273,-1.7399434871842778,35.170531669852785,2.56385591986876,37.24995896071799,26.091265929612682,13.576093439648092
13317,8,0.25,0.999999,33.09518534925327,-1.6726299116302834,32.40203816869332,4.650199000549139,34.481429148899075,24.589126403783606,12.771074919490896
13318,8,0.25,0.999999,35.86367885041273,-1.7399434871842778,35.170531669852785,2.56385591986876,37.24995896071799,26.091265929612682,13.576093439648092
13319,8,0.25,0.999999,25.303160750901178,-1.6985465016538401,24.61001357034311,2.504184542225728,3.4856049661518576,26.689452641864,13.778178476112613
13320,8,0.25,0.875,12.071975236886061,-1.7193113774874862,11.378829080845318,1.280994812973708,3.441237046574064,1.5849123995391432,13.458212843359657
13321,8,0.25,0.999999,32.37565968910588,-1.6526464491869355,31.682512508545937,4.395130909886041,33.76190715179596,23.79439341770042,12.360000346963687
13322,8,0.125,0.999999,33.09518534925317,-0.8318124278091796,32.402038168693224,2.49581283573152,34.481429148899075,24.589126403783606,12.771074919490896
13323,8,0.25,0.999999,25.303160750901178,-1.6985465016538401,24.61001357034311,2.504184542225728,3.4856049661518576,26.689452641864,13.778178476112613
13324,8,0.125,0.999999,22.40810987504284,-0.8388877187374515,21.714962694563056,2.3603402497781545,3.115738454841847,23.79439341770042,12.360000346963687
13325,8,0.25,0.999999,35.86367885041273,-1.7399434871842778,35.170531669852785,2.56385591986876,37.24995896071799,26.091265929612682,13.576093439648092
13326,8,0.125,0.875,12.071937302369886,-0.7752211214803975,11.378792755407533,1.280994812973708,1.5447777057271233,1.5849123995391432,13.458212843359657
13327,8,0.25,0.999999,25.3031607508072,-1.6985465016538401,24.610013570249134,1.2577063433952196,1.5488335053643238,26.689452641864,13.778178476112613
