cluster_id,n,kappa_hat,log_e_lrt,log_e_mixlr,T_obs,T_obs_coh,p_coh,frac_astroturf,frac_advocacy,y,log_e_coh,score_supervised
909,30,3840.0,750.0,163.09371011289483,0.9903628826141357,0.9903628826141357,1.31018056949861e-72,0.0,0.0,0,165.51596172854528,0.0011803860570432823
910,30,3840.0,750.0,446.6889241567934,0.9999504685401917,0.9999504685401917,4.923883748053133e-199,0.0,0.0,0,456.62033590702157,0.0011803860570432823
911,30,3840.0,750.0,392.7312688859239,0.9998649954795837,0.9998649954795837,6.425319865642082e-175,0.0,0.0,0,401.0921448598802,0.0011803860570432823
912,30,3840.0,750.0,84.61068105443985,0.9584649205207825,0.9584649205207825,1.1115255893684935e-38,0.0,0.9666666666666668,0,87.39250005724281,0.001561201376786373
913,30,3390.2455512465326,750.0,86.97849506473085,0.9602584838867188,0.9602584838867188,1.1305653146686383e-39,0.0,0.1333333333333333,0,89.67810084067327,0.0011803860570432823
914,30,3840.0,749.3068528194401,139.82670691119327,0.9851441979408264,0.9851441979408264,2.1445343991265133e-62,0.0,0.3,0,141.9973533001568,0.0011803860570432823
915,30,3840.0,749.3068528194401,133.4422818084206,0.9832704663276672,0.9832704663276672,1.3123578915249683e-59,0.0,0.0,0,135.58069505015084,0.0011803860570432823
916,30,3840.0,749.3068528194401,200.84530928473885,0.9952234625816345,0.9952234625816345,2.6015403587340377e-89,0.0,0.0,0,203.97396956120235,0.0011803860570432823
917,30,3840.0,750.0,200.76146646207334,0.9952160120010376,0.9952160120010376,2.8342863199099067e-89,0.0,0.0,0,203.8882831099908,0.0011803860570432823
918,30,3840.0,749.3068528194401,154.29252049791978,0.9886490106582642,0.9886490106582642,9.780408931308655e-69,0.0,0.0,0,156.59799012039932,0.0011803860570432823
919,30,3840.0,750.0,145.81244987374623,0.9867096543312073,0.9867096543312073,5.148666428304014e-65,0.0,0.0,0,148.02929330943002,0.0011803860570432823
920,30,3840.0,750.0,432.3864650691157,0.9999353885650635,0.9999353885650635,1.2157670793356717e-192,0.0,0.0,0,441.9009626362591,0.0011803860570432823
921,30,3840.0,750.0,441.80195390350417,0.9999457597732544,0.9999457597732544,7.526183161138775e-197,0.0,0.0,0,451.5908752908354,0.0011803860570432823
922,30,3840.0,750.0,330.07341796513225,0.999567449092865,0.999567449092865,6.381376763485523e-147,0.0,0.0,0,336.62662480239834,0.0011803860570432823
923,30,3840.0,750.0,397.96713469136176,0.9998775124549866,0.9998775124549866,2.9373101391176414e-177,0.0,0.0,0,406.4800672160565,0.0011803860570432823
924,30,3840.0,750.0,355.31304060327983,0.9997293949127197,0.9997293949127197,3.3785829530181e-158,0.0,0.0,0,362.59098831614114,0.0011803860570432823
925,30,3840.0,750.0,355.3960740556889,0.9997298121452332,0.9997298121452332,3.1019448434554357e-158,0.0,0.0,0,362.6764154094251,0.0011803860570432823
926,30,3840.0,750.0,100.70189859089314,0.9692258834838867,0.9692258834838867,1.7625764294088807e-45,0.0,0.0,0,103.04955256576434,0.0011803860570432823
927,30,3840.0,749.3068528194401,97.72766407517915,0.9674726724624634,0.9674726724624634,3.249980780174061e-44,0.0,0.7333333333333333,0,100.13509500920645,0.0011803860570432823
928,30,3840.0,750.0,183.9537023087788,0.9934612512588501,0.9934612512588501,8.001502819431047e-82,0.0,0.2666666666666666,0,186.7323482490451,0.0011803860570432823
929,30,2339.680367564136,749.3068528194401,76.00877883066613,0.951237678527832,0.951237678527832,4.2140033008026323e-35,0.0,0.0,0,79.1520651561155,0.02623664919167511
930,30,3006.8076367074427,749.4479834211155,87.85186826156158,0.9609002470970154,0.9609002470970154,4.857470257333637e-40,0.0,0.2666666666666666,0,90.52288594055102,0.0018782180914935077
931,30,2205.289695558117,678.6273652119277,79.39879001258066,0.9542255997657776,0.9542255997657776,1.658340773228243e-36,0.0,0.0,0,82.38724577948447,0.01398889846960785
932,30,3840.0,750.0,432.93532172592273,0.999936044216156,0.999936044216156,6.910975684169582e-193,0.0,0.0,0,442.46581212117206,0.0011803860570432823
933,30,3840.0,750.0,365.8015587379206,0.9997773170471191,0.9997773170471191,6.95261886663931e-163,0.0,0.0,0,373.38225175408604,0.0011803860570432823
934,30,3840.0,750.0,362.92698917373497,0.9997650980949402,0.9997650980949402,1.3385205760986704e-161,0.0,0.0,0,370.4246350156757,0.0011803860570432823
935,30,3840.0,750.0,366.6874294278453,0.9997809529304504,0.9997809529304504,2.794474606818191e-163,0.0,0.0,0,374.2937260451858,0.0011803860570432823
936,30,3840.0,750.0,392.9455179334582,0.9998655319213867,0.9998655319213867,5.154021360367756e-175,0.0,0.0,0,401.31261401731115,0.0011803860570432823
